Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,entrez
ENSG00000167642,144.8380364,-6.63081119,0.328089204,9.65e-93,9.06e-90,SPINT2,10653
ENSG00000168918,27.78034075,-9.285716201,0.550347289,3.54e-89,2.57e-86,INPP5D,3635
ENSG00000169116,80.34274254,-13.51377124,1.064082842,1.02e-126,6.51e-123,PARM1,25849
ENSG00000169469,247.2701151,-4.23e-06,0.001608251,1.44e-84,8.35e-82,SPRR1B,6699
ENSG00000170954,13.37952752,-10.18109188,0.797815566,6.21e-81,2.79e-78,ZNF415,55786
ENSG00000171345,278.2600588,-13.55215979,0.804445363,6.67e-95,7.33e-92,KRT19,3880
ENSG00000172201,54.99650522,-12.39744895,0.885711753,9.26e-133,9.85e-129,ID4,3400
ENSG00000172349,20.51295675,-11.29110501,0.89722253,9.25e-91,7.38e-88,IL16,3603
ENSG00000172638,48.6242267,-7.252267134,0.33494224,3.31e-106,5.56e-103,EFEMP2,30008
ENSG00000175463,16.03439125,-7.449287528,0.433894491,7.73e-79,3.16e-76,TBC1D10C,374403
ENSG00000178163,30.33095049,-13.05467303,1.361246363,1.24e-125,6.61e-122,ZNF518B,85460
ENSG00000178573,93.92475697,-13.61080442,1.123178993,9.6e-93,9.06e-90,MAF,4094
ENSG00000179403,48.34572058,-12.32281622,0.895965863,3.81e-120,1.1e-116,VWA1,64856
ENSG00000182107,40.22484812,-16.27700146,3.623800722,3.89e-96,4.43e-93,TMEM30B,161291
ENSG00000182636,41.39253639,-16.35358194,3.632494293,3.12e-97,3.68e-94,NDN,4692
ENSG00000182871,140.1162612,-8.301438759,0.404860791,3.36e-92,2.97e-89,COL18A1,80781
ENSG00000183087,97.49060349,-6.425845243,0.327466905,7.27e-85,4.29e-82,GAS6,2621
ENSG00000185811,29.3348328,-15.76062974,3.578660639,4.46e-81,2.03e-78,IKZF1,10320
ENSG00000189058,161.6865227,-12.06422905,0.615738893,4.63e-125,1.84e-121,APOD,347
ENSG00000189184,72.79792621,-14.47132286,1.456434792,1.33e-82,6.44e-80,PCDH18,54510
ENSG00000196126,151.4520564,-18.34464809,3.856776927,3.38e-86,2.2e-83,HLA-DRB1,3123
ENSG00000196329,34.52680483,-13.18698712,1.411032648,2.26e-84,1.24e-81,GIMAP5,55340
ENSG00000197937,16.75690454,-10.41748992,0.804211755,1.6e-83,8.5e-81,ZNF347,84671
ENSG00000204525,528.9072462,-3.707075334,0.181859758,6.31e-94,6.5e-91,HLA-C,3107
ENSG00000223865,112.9127058,-17.88056185,3.822008192,5.17e-74,1.74e-71,HLA-DPB1,3115
ENSG00000229807,964.7504759,-16.23605939,1.0741305,2.38e-74,8.16e-72,XIST,7503
ENSG00000231389,170.9669149,-13.3435016,0.975706552,3.46e-76,1.31e-73,HLA-DPA1,3113
ENSG00000256043,46.31052195,-9.389327499,0.577606917,2.16e-74,7.56e-72,CTSO,1519
